hugoSymbol	geneType
TYMS	ONCOGENE
U2AF1	ONCOGENE
U2AF2	INSUFFICIENT_EVIDENCE
UBA1	INSUFFICIENT_EVIDENCE
UBE2A	ONCOGENE
UBR5	ONCOGENE
UBTF	ONCOGENE
UCHL1	ONCOGENE
UPF1	INSUFFICIENT_EVIDENCE
USP1	ONCOGENE
USP6	ONCOGENE
USP8	ONCOGENE
VAV1	ONCOGENE
VAV2	ONCOGENE
VEGFA	ONCOGENE
VEGFB	ONCOGENE
VHL	TSG
VHL	TSG
VTCN1	INSUFFICIENT_EVIDENCE
WEE1	TSG
WIF1	TSG
WRN	TSG
WT1	ONCOGENE_AND_TSG
WT1	ONCOGENE_AND_TSG
WWOX	TSG
WWP1	ONCOGENE
WWTR1	ONCOGENE
XBP1	ONCOGENE
XIAP	ONCOGENE
XPA	TSG
XPC	TSG
XPO1	ONCOGENE
XRCC1	TSG
XRCC2	TSG
XRCC3	TSG
YAP1	ONCOGENE
YES1	ONCOGENE
YWHAE	ONCOGENE
YY1	ONCOGENE
ZBTB20	ONCOGENE
ZBTB7A	ONCOGENE_AND_TSG
ZFHX3	TSG
ZFP36L1	TSG
ZFP36L2	TSG
ZMYM3	TSG
ZNF217	ONCOGENE
ZNF292	TSG
ZNF750	TSG
ZNRF3	TSG
ZRSR2	INSUFFICIENT_EVIDENCE
